Establishment.ID,Name,Address.1,Address.2,City,Zip,Inspection.Date,Inspection.Results,Food.from.Approved.Source..C.,Food.Protected.from.Contamination..C.,Ill.Workers.Restricted..C.,Proper.Hand.Washing..C.,Cooling.Time.and.Temperature..C.,Cold.Holding.Temperature..C.,Hot.Holding.Temperature..C.,Cooking.Time.and.Temperature..C.,Reheating.Time.and.Temperature..C.,Hot.and.Cold.Running.Water.Provided..C.,Proper.Sewage.Disposal..C.,Toxic.Substances...Pesticides,Rodent.and.Insects,Nutritional.Labeling,Trans.Fat.Ban,No.Smoking.Sign.Posted,Inspection.Type,Owner,Category,Type,Latitude,Longitude,Location
28225,GOURMET INSPIRATION,2646 W. UNIVERSITY BLVD,,Silver Spring,20902,2023-12-27,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,A & C FINE DINING INC,Restaurant,Food,39.0404,-77.054,POINT (-77.054 39.0404)
51480,ANTOJITOS SANTA ELENA WHEATON,2610 UNIVERSITY BLVD W.,,Silver Spring,20902,2023-12-21,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,Out of Compliance,In Compliance,Comprehensive,ANTOJITOS SANTA ELENA WHEATON LLC,Restaurant,Food,39.0409,-77.0533,POINT (-77.0533 39.0409)
46932,EL TACO LOCO,8417 GEORGIA AVE,,Silver Spring,20910,2023-12-20,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CARMEN SOLA,Restaurant,Food,38.9938,-77.0264,POINT (-77.0264 38.9938)
23866,HIBACHI SUSHI SUPREME BUFFET,8 BUREAU DR.,,Gaithersburg,20878,2023-12-20,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Reinspection,ZHENGHAI HAI ZHENG,Restaurant,Food,39.1452,-77.2167,POINT (-77.2167 39.1452)
53758,BARRA BRAVA CEVICHERIA PERUANA,"15420 OLD COLUMBIA PIKE, UNIT B",,Burtonsville,20866,2023-12-18,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Monitoring,JOHAN REYES,Restaurant,Food,39.1094,-76.9366,POINT (-76.9366 39.1094)
30511,MANSA KUNDA RESTAURANT,8000 FLOWER AVE,,Takoma Park,20912,2023-12-12,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,BATHURST INC,Restaurant,Food,38.9889,-77.0013,POINT (-77.0013 38.9889)
11363,STARBUCKS COFFEE #07516,7700 NORFOLK AVE.,,Bethesda,20814,2023-11-07,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,STARBUCKS CORP LICENSE SERVICE,Restaurant,Food,38.9881,-77.0966,POINT (-77.0966 38.9881)
11478,VILLAGE MARKET,3110 GRACEFIELD RD.,,Silver Spring,20904,2023-11-07,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,RIDERWOOD VILLAGE/DINING SERVICES,Market,Food,39.0504,-76.9488,POINT (-76.9488 39.0504)
28034,DOLLAR TREE #969,18036 MATNEY RD,,Germantown,20874,2023-10-31,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"DOLLAR TREE STORES, INC",Market,Food,39.1484,-77.2743,POINT (-77.2743 39.1484)
50368,FLIP'D,8537 GEORGIA AVE,,Silver Spring,20910,2023-10-24,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,NMS SILVER SPRING DINING LLC,Restaurant,Food,38.9964,-77.0274,POINT (-77.0274 38.9964)
56161,KOMA,8006 FLOWER AVE,,Takoma Park,20912,2023-10-16,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Pre-Opening - Environmental,BRAD FEICKERT,Market,Food,38.9892,-77.0015,POINT (-77.0015 38.9892)
1412,LA FRONTERA RESTAURANT,3 RUSSELL AVE.,,Gaithersburg,20877,2023-10-06,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Reinspection,JOSE GILBERTO MEJIA,Restaurant,Food,39.1425,-77.1962,POINT (-77.1962 39.1425)
17278,TACO BAR,3 RUSSELL AVE.,,Gaithersburg,20877,2023-10-06,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Reinspection,RAUL VALDIVIA,Restaurant,Food,39.1425,-77.1962,POINT (-77.1962 39.1425)
1412,LA FRONTERA RESTAURANT,3 RUSSELL AVE.,,Gaithersburg,20877,2023-09-25,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Fire Call,JOSE GILBERTO MEJIA,Restaurant,Food,39.1425,-77.1962,POINT (-77.1962 39.1425)
17278,TACO BAR,3 RUSSELL AVE.,,Gaithersburg,20877,2023-09-25,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Fire Call,RAUL VALDIVIA,Restaurant,Food,39.1425,-77.1962,POINT (-77.1962 39.1425)
